scope,commander,player,date,event,field_size,standing,wins,losses,draws,top_cut,winner,deck_url,event_url
local,"Crystal, Inhuman Princess",Will C. (Noritama),2026-08-26,Stomping Grounds Weekly CEDH,21,4,2,1,0,False,False,https://moxfield.com/decks/-xafAR6oinGDIJum3cJLOw,https://topdeck.gg/event/stomping-grounds-weekly-cedh-196
local,"Crystal, Inhuman Princess",Sylvie Vulpin [C4],2026-08-16,AZMS CEDH Qualifier #6,30,7,1,1,2,False,False,https://moxfield.com/decks/u0pTf0C3OEC2n4oRIfhXag,https://topdeck.gg/event/azms-cedh-qualifier-6
local,"Godo, Bandit Warlord","Jordan ""The Tangelo"" Larson [C4]",2026-09-06,September CEDH Tournament @ Arcanum!,40,5,3,3,0,True,False,https://moxfield.com/decks/48Q0ZRbjJkSM8gKSDNJSiQ,https://topdeck.gg/event/september-cedh-tournament-arcanum
local,"Kefka, Court Mage // Kefka, Ruler of Ruin",Ryan Osoy,2026-09-06,September CEDH Tournament @ Arcanum!,40,9,2,3,1,True,False,https://moxfield.com/decks/yDe7DnCgBEePcnVn-wZiqQ,https://topdeck.gg/event/september-cedh-tournament-arcanum
local,"Kefka, Court Mage // Kefka, Ruler of Ruin",Matthew Loving,2026-09-06,September CEDH Tournament @ Arcanum!,40,19,1,3,1,False,False,https://moxfield.com/decks/iQ-iRqe9MUOTBGRPUQSiFw,https://topdeck.gg/event/september-cedh-tournament-arcanum
local,"Kinnan, Bonder Prodigy",Brice Quarton,2026-09-06,September CEDH Tournament @ Arcanum!,40,1,4,1,1,True,True,https://moxfield.com/decks/wra9JpKGSEqI1HXtjzglYQ,https://topdeck.gg/event/september-cedh-tournament-arcanum
local,"Kinnan, Bonder Prodigy",Brandon Lee,2026-09-06,September CEDH Tournament @ Arcanum!,40,3,3,3,1,True,False,https://moxfield.com/decks/onSgAWEUmHS4vwOcOYi9rA,https://topdeck.gg/event/september-cedh-tournament-arcanum
local,"Kinnan, Bonder Prodigy",Alex Mahnke [WOOD],2026-08-16,AZMS CEDH Qualifier #6,30,4,2,2,1,True,False,https://moxfield.com/decks/GXKfAdIdL3-naxXL4Md_xw,https://topdeck.gg/event/azms-cedh-qualifier-6
local,"Kinnan, Bonder Prodigy",Gemein Cho,2026-09-06,September CEDH Tournament @ Arcanum!,40,6,2,2,2,True,False,https://moxfield.com/decks/DsByH8iavUSTjMkBZSOgyQ,https://topdeck.gg/event/september-cedh-tournament-arcanum
local,"Kinnan, Bonder Prodigy",Marcellus Jordan,2026-09-06,September CEDH Tournament @ Arcanum!,40,31,0,3,1,False,False,https://moxfield.com/decks/Mi4yPy0jFUGPx6pI5x3OVw,https://topdeck.gg/event/september-cedh-tournament-arcanum
local,"Kraum, Ludevic's Opus / Tymna the Weaver",Zach J Gable,2026-09-06,September CEDH Tournament @ Arcanum!,40,2,3,1,2,True,False,https://moxfield.com/decks/b8RZsIyaK0y0Ju6j3UyJYg,https://topdeck.gg/event/september-cedh-tournament-arcanum
local,"Kraum, Ludevic's Opus / Tymna the Weaver","Ryan ""Dailman"" Dailey",2026-08-16,AZMS CEDH Qualifier #6,30,10,1,2,1,False,False,https://moxfield.com/decks/ObBl24plwEuRwqtGTy1iyQ,https://topdeck.gg/event/azms-cedh-qualifier-6
local,"Kraum, Ludevic's Opus / Tymna the Weaver",Kyle Tunison [[SLOP]],2026-08-16,AZMS CEDH Qualifier #6,30,13,1,2,1,False,False,https://moxfield.com/decks/VuzcG_d0z02wzy6SzCL8Iw,https://topdeck.gg/event/azms-cedh-qualifier-6
local,"Magda, Brazen Outlaw",Matthew M.,2026-09-06,September CEDH Tournament @ Arcanum!,40,38,0,4,1,False,False,https://moxfield.com/decks/ym5etHcH7UuLIVyysdJKRQ,https://topdeck.gg/event/september-cedh-tournament-arcanum
local,"Maralen, Fae Ascendant",Ryan Bram [[SLOP]],2026-09-04,Weekly cEDH at Arcanum!,19,4,1,1,1,False,False,https://moxfield.com/decks/2uyNJp9cdkmVsswdeSPbGQ,https://topdeck.gg/event/weekly-cedh-at-arcanum-4
local,"Ral, Monsoon Mage // Ral, Leyline Prodigy",Merculeez,2026-08-16,AZMS CEDH Qualifier #6,30,3,2,1,2,True,False,https://moxfield.com/decks/5V6L78Dvs0uVRb9fagRQyA,https://topdeck.gg/event/azms-cedh-qualifier-6
local,"Ral, Monsoon Mage // Ral, Leyline Prodigy",S N E E P. F E V E N. [[SLOP]],2026-08-16,AZMS CEDH Qualifier #6,30,14,1,2,1,False,False,https://moxfield.com/decks/ylEDEK28602K5p9z-q9AHA,https://topdeck.gg/event/azms-cedh-qualifier-6
local,"Ral, Monsoon Mage // Ral, Leyline Prodigy",Patty OMalley,2026-08-16,AZMS CEDH Qualifier #6,30,15,1,2,1,False,False,https://moxfield.com/decks/qQugAfxTrn2WjAQU5x3p0Q,https://topdeck.gg/event/azms-cedh-qualifier-6
local,"Rograkh, Son of Rohgahh / Silas Renn, Seeker Adept",Dylan Cruz-Rojewski,2026-08-28,Weekly cEDH at Arcanum,18,6,1,1,1,False,False,https://moxfield.com/decks/d9OGBA-OSEOYEly6gAZjPg,https://topdeck.gg/event/weekly-cedh-at-arcanum-3
local,"Rograkh, Son of Rohgahh / Silas Renn, Seeker Adept",Ray Ray,2026-09-04,Weekly cEDH at Arcanum!,19,11,0,1,2,False,False,https://moxfield.com/decks/okoWxydYxUmhY8B-i8-ziw,https://topdeck.gg/event/weekly-cedh-at-arcanum-4
local,"Rograkh, Son of Rohgahh / Silas Renn, Seeker Adept",Tanner Schultz,2026-08-16,AZMS CEDH Qualifier #6,30,23,0,2,1,False,False,https://moxfield.com/decks/DQcnbWXjbE--EivTu-c2XA,https://topdeck.gg/event/azms-cedh-qualifier-6
local,"Rograkh, Son of Rohgahh / Silas Renn, Seeker Adept",Nic,2026-08-21,Weekly cEDH at Arcanum!,22,21,0,2,0,False,False,https://moxfield.com/decks/0xaWTXwmM0CUckC_TRPohw,https://topdeck.gg/event/weekly-cedh-at-arcanum-2
local,"Rograkh, Son of Rohgahh / Thrasios, Triton Hero",Jake Ransom,2026-08-16,AZMS CEDH Qualifier #6,30,1,3,2,0,True,True,https://moxfield.com/decks/13ZxbFOPdE6K2AapDsozvg,https://topdeck.gg/event/azms-cedh-qualifier-6
local,"Sisay, Weatherlight Captain",Thee Mack,2026-09-06,September CEDH Tournament @ Arcanum!,40,13,1,2,2,False,False,https://moxfield.com/decks/V6yeAURsiH-gIFmt-SraQw,https://topdeck.gg/event/september-cedh-tournament-arcanum
local,"Sisay, Weatherlight Captain",Talon Smith,2026-08-26,Stomping Grounds Weekly CEDH,21,13,0,2,1,False,False,https://moxfield.com/decks/4SSNwOA1WkO4TkUYqmZ5oQ,https://topdeck.gg/event/stomping-grounds-weekly-cedh-196
local,"Sisay, Weatherlight Captain",Seamus,2026-09-06,September CEDH Tournament @ Arcanum!,40,33,0,4,1,False,False,https://moxfield.com/decks/YmKfAUN7AH2FvOdhWj4djQ,https://topdeck.gg/event/september-cedh-tournament-arcanum
local,"Tayam, Luminous Enigma",ThePapaSquats,2026-08-21,Weekly cEDH at Arcanum!,22,7,1,2,0,False,False,https://moxfield.com/decks/bG2llrQpH0evNKPrpXx-VQ,https://topdeck.gg/event/weekly-cedh-at-arcanum-2
local,"Tayam, Luminous Enigma",Tyler Whipple,2026-08-16,AZMS CEDH Qualifier #6,30,24,0,3,1,False,False,https://moxfield.com/decks/plWcEkS1rEie1BDlbkj3Hg,https://topdeck.gg/event/azms-cedh-qualifier-6
local,"Thrasios, Triton Hero / Tymna the Weaver",Ross Donaldson,2026-09-06,September CEDH Tournament @ Arcanum!,40,7,2,3,1,True,False,https://moxfield.com/decks/3S05d3DUuEW_IjoBtlG5yQ,https://topdeck.gg/event/september-cedh-tournament-arcanum
local,"Thrasios, Triton Hero / Tymna the Weaver",Dakota Cline [C4],2026-09-06,September CEDH Tournament @ Arcanum!,40,8,2,3,1,True,False,https://moxfield.com/decks/AYB3Wun5aESqo54ErWjQLA,https://topdeck.gg/event/september-cedh-tournament-arcanum
local,"Thrasios, Triton Hero / Tymna the Weaver",Aidan Brean,2026-08-16,AZMS CEDH Qualifier #6,30,16,1,2,1,False,False,https://moxfield.com/decks/ESqfAVXx8nmcvoWlKDRmTA,https://topdeck.gg/event/azms-cedh-qualifier-6
local,"Thrasios, Triton Hero / Tymna the Weaver",Luke Lindsay,2026-09-06,September CEDH Tournament @ Arcanum!,40,22,1,4,0,False,False,https://moxfield.com/decks/zFWgAWd_O3mkRK3EgKw1kg,https://topdeck.gg/event/september-cedh-tournament-arcanum
local,"Thrasios, Triton Hero / Tymna the Weaver",Robert Schnepp,2026-09-06,September CEDH Tournament @ Arcanum!,40,37,0,4,1,False,False,https://moxfield.com/decks/SEMI7wXUyk60jBRcY2nDdA,https://topdeck.gg/event/september-cedh-tournament-arcanum
local,"Thrasios, Triton Hero / Yoshimaru, Ever Faithful",Kenjamin,2026-09-06,September CEDH Tournament @ Arcanum!,40,4,3,3,1,True,False,https://moxfield.com/decks/AdDY88ZnGUyxfidYb4FSmA,https://topdeck.gg/event/september-cedh-tournament-arcanum
global,Arcum Dagsson,NarutoSlayer69,2026-08-15,A león regalado no le mires el ojo. Cuarto torneo de cEDH en El Trastero Mágico. cEDH Canarias,29,1,3,1,1,True,True,https://moxfield.com/decks/kqtv78ReikuEoDL9MC4Mzg,https://topdeck.gg/event/a-leon-regalado-no-le-mires-el-ojo-cuarto-torneo-de-cedh
global,Arcum Dagsson,Geoffrey Banks,2026-08-30,Cedh Sunday,17,1,3,0,0,False,True,https://moxfield.com/decks/kWYO0BnpfUqupWw0bcrZeg,https://topdeck.gg/event/cedh-sunday-4
global,Arcum Dagsson,Monoblue Russ,2026-08-30,Cash Cards Unlimited CEDH Tournament - August,41,3,3,1,1,True,False,https://moxfield.com/decks/uqqWKafeU0KM8Ahrxl-iFQ,https://topdeck.gg/event/cash-cards-unlimited-cedh-tournament-august-2
global,Arcum Dagsson,Niko R [TOODEEP],2026-08-22,BREACH THE BAY 2 - cEDH 25K - AUGUST 22nd & 23rd,429,13,4,4,0,True,False,https://moxfield.com/decks/huYVoYaTW0S1xV-J6GfSoA,https://topdeck.gg/event/breach-the-bay-2
global,Arcum Dagsson,She Horseshoe my Crab till I Kinnan,2026-08-29,Summer Sizzler 5k CEDH event,91,6,3,3,0,True,False,https://moxfield.com/decks/-R7L69fAD0OkORxgbhVpxg,https://topdeck.gg/event/summer-sizzler-5k-cedh-event
